INSTNM,STABBR,LATITUDE,LONGITUDE,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,COUNT_WNE_3YR,COUNT_NWNE_3YR,EMPLOYMENT RATE,Rank_Tuition,Rank_Grad_Rate,Rank_Employment_Rate,Tuition_Avg
Alabama A & M University,AL,34.783367999999996,-86.568502,12.0,9744.0,18354.0,0.2685,460.0,19.0,0.9603340292275574,0.3340174448435095,0.8795811518324608,0.33134684147794996,14049.0
University of Alabama at Birmingham,AL,33.505697,-86.799345,12.0,8568.0,19704.0,0.5829,2061.0,116.0,0.9467156637574644,0.336069779374038,0.4002326934264107,0.5351609058402861,14136.0
Amridge University,AL,32.362609,-86.17401,12.0,6900.0,6900.0,0.4,21.0,5.0,0.8076923076923077,0.07952796305797845,0.7027341477603257,0.9517282479141835,6900.0
University of Alabama in Huntsville,AL,34.724557,-86.640449,12.0,10714.0,22362.0,0.5187,1068.0,56.0,0.9501779359430605,0.4155977424320164,0.5101803374054683,0.48510131108462456,16538.0
Alabama State University,AL,32.364317,-86.295677,12.0,11068.0,19396.0,0.3001,559.0,28.0,0.9522998296422487,0.3776295536172396,0.8394415357766143,0.45292014302741357,15232.0
The University of Alabama,AL,33.211875,-87.545978,12.0,10780.0,29230.0,0.7188,4167.0,201.0,0.9539835164835165,0.5279630579784504,0.18731820826061663,0.4261025029797378,20005.0
Athens State University,AL,34.806793,-86.964698,31.0,,,,854.0,58.0,0.9364035087719298,,,0.6603098927294399,
Auburn University at Montgomery,AL,32.36736,-86.177544,12.0,8404.0,17812.0,0.33799999999999997,599.0,19.0,0.9692556634304207,0.2796305797845049,0.794066317626527,0.18116805721096543,13108.0
Auburn University,AL,32.599378,-85.488258,13.0,11276.0,30524.0,0.7812,3244.0,109.0,0.967491798389502,0.5464340687532068,0.12100058173356602,0.20858164481525626,20900.0
Birmingham-Southern College,AL,33.513774,-86.85055200000001,12.0,17650.0,17650.0,0.68,156.0,7.0,0.9570552147239264,0.4628014366341714,0.23909249563699825,0.3831942789034565,17650.0
South University-Montgomery,AL,32.342684000000006,-86.216488,12.0,17014.0,17014.0,0.0909,3691.0,346.0,0.9142927916769878,0.43560800410466904,0.9906922629435718,0.8087008343265792,17014.0
Faulkner University,AL,32.384181,-86.21641,12.0,21690.0,21690.0,0.2794,420.0,24.0,0.9459459459459459,0.5572088250384812,0.8662012798138452,0.5464839094159714,21690.0
Herzing University-Birmingham,AL,33.468466,-86.832465,21.0,14000.0,14000.0,0.5,2513.0,214.0,0.9215254858819215,0.3335043612108774,0.5386852821407795,0.7681764004767581,14000.0
Huntingdon College,AL,32.351034000000006,-86.284366,12.0,27400.0,27400.0,0.4291,247.0,13.0,0.95,0.6541816316059518,0.6637579988365329,0.48867699642431467,27400.0
Heritage Christian University,AL,34.856153000000006,-87.663051,13.0,11232.0,11232.0,0.5,,,,0.20010261672652643,0.5386852821407795,,11232.0
Jacksonville State University,AL,33.822938,-85.765321,23.0,8760.0,16536.0,0.4247,1338.0,60.0,0.9570815450643777,0.25551564905079527,0.6719022687609075,0.38259833134684146,12648.0
Judson College,AL,32.629253000000006,-87.315206,43.0,18510.0,18510.0,0.3467,32.0,1.0,0.9696969696969697,0.49717804002052335,0.7812681791739383,0.17520858164481526,18510.0
University of West Alabama,AL,32.588132,-88.186329,43.0,10040.0,18490.0,0.3123,248.0,12.0,0.9538461538461539,0.3422267829656234,0.8266433973240256,0.4308700834326579,14265.0
Miles College,AL,33.482442,-86.908751,21.0,12132.0,12132.0,0.2421,200.0,9.0,0.9569377990430622,0.23396613648024628,0.8987783595113438,0.38557806912991655,12132.0
University of Mobile,AL,30.793246999999997,-88.128934,41.0,23230.0,23230.0,0.5044,168.0,7.0,0.96,0.5900461775269369,0.532867946480512,0.33790226460071515,23230.0
University of Montevallo,AL,33.10625,-86.865099,21.0,12760.0,25780.0,0.4917,339.0,29.0,0.9211956521739131,0.5146228835300154,0.5520651541593949,0.7711561382598331,19270.0
University of North Alabama,AL,34.806738,-87.681361,13.0,10142.0,18452.0,0.4571,990.0,56.0,0.9464627151051626,0.344792201128784,0.6189645142524723,0.5405244338498212,14297.0
Oakwood University,AL,34.756344,-86.65270500000001,12.0,19732.0,19732.0,0.4755,92.0,6.0,0.9387755102040817,0.5238583889173936,0.5817335660267597,0.6358760429082241,19732.0
Samford University,AL,33.464128,-86.791799,21.0,31650.0,31650.0,0.7636,425.0,18.0,0.9593679458239278,0.7337095946639303,0.13787085514834205,0.34862932061978547,31650.0
University of South Alabama,AL,30.696033,-88.17871099999999,12.0,8396.0,16292.0,0.4417,1911.0,112.0,0.9446366782006921,0.24063622370446383,0.6463059918557301,0.566150178784267,12344.0
